"Author","Year","Specimen","ShapeName","H","B","fc","Pexp","Fy","L","BendingAxis"
"Stevens","1965","B1","BS 3x1-1/2","5","3.5","2.56","81.4","40.6","46","weak"
"Stevens","1965","B2","BS 3x1-1/2","5","3.5","1.84","60.1","40.6","64","weak"
"Stevens","1965","B3","BS 3x1-1/2","5","3.5","2.24","63","40.6","82","weak"
"Stevens","1965","B4","BS 3x1-1/2","5","3.5","2","43.6","40.6","100","weak"
"Stevens","1965","B5","BS 3x1-1/2","5","3.5","2.52","50.6","40.6","118","weak"
"Stevens","1965","B6","BS 3x1-1/2","5","3.5","2.2","36.1","40.6","136","weak"
"Stevens","1965","B7","BS 3x1-1/2","5","3.5","2.76","33.9","40.6","154","weak"
"Stevens","1965","A1","BS 5x4-1/2","7","6.5","2.32","352","41.1","13","weak"
"Stevens","1965","A2","BS 5x4-1/2","7","6.5","2.08","308","41.4","46","weak"
"Stevens","1965","A5","BS 5x4-1/2","7","6.5","2.32","288","41.4","118","weak"
